# Complément du 24/09 : deux photos de 500 px, retenues faute de mieux (le lieu exact,
# affiché sur fond flou dans la vignette) — mieux que la bannière générique partagée.
# Même format que images_manuelles_jep_2026.tsv ; séparé pour ne pas republier les 53 autres.
10428	https://artbonus.gov.it/assets/components/phpthumbof/cache/064e3ab0b08ca51c81612ff6b9b8e11ce6621526.b04204443a3d47689fb373d02ab02184.jpg	Ministero della Cultura – Art Bonus	dépôt voûté de l'Archivio di Stato di Novara (ancienne église Santa Maria Maddalena)
10472	https://artbonus.gov.it/assets/components/phpthumbof/cache/aa1eb2e8fa84b2f00e5aea78f2023df7de724199.40220f4408b30cdb498ab01cca08f052.jpg	Ministero della Cultura – Art Bonus	la Margaria néogothique du parc de Racconigi
